FID,X,Y,District,Country,Species
300,35.5504989,8.144686,Ale,Ethiopia,Coffeearabica
301,35.5516089,8.1439037,Ale,Ethiopia,Coffeearabica
302,35.55243,8.1377357,Ale,Ethiopia,Coffeearabica
303,35.5331236,8.137665,Ale,Ethiopia,Coffeearabica
304,35.536181,8.1351558,Ale,Ethiopia,Coffeearabica
305,35.5379136,8.121369,Ale,Ethiopia,Coffeearabica
306,35.5386629,8.1280374,Ale,Ethiopia,Coffeearabica
307,35.5395175,8.1320858,Ale,Ethiopia,Coffeearabica
308,35.544033,8.1345724,Ale,Ethiopia,Coffeearabica
309,35.5495959,8.1339281,Ale,Ethiopia,Coffeearabica
310,35.5532189,8.1307257,Ale,Ethiopia,Coffeearabica
311,35.5565504,8.1266533,Ale,Ethiopia,Coffeearabica
312,35.5563027,8.122363,Ale,Ethiopia,Coffeearabica
313,35.5582714,8.1184977,Ale,Ethiopia,Coffeearabica
314,35.559059,8.1142879,Ale,Ethiopia,Coffeearabica
315,35.5606599,8.1082487,Ale,Ethiopia,Coffeearabica
316,35.5626727,8.104105,Ale,Ethiopia,Coffeearabica
317,35.5646773,8.100372,Ale,Ethiopia,Coffeearabica
318,35.5683952,8.1004523,Ale,Ethiopia,Coffeearabica
319,35.5602686,8.1091013,Ale,Ethiopia,Coffeearabica
320,35.5588639,8.1160531,Ale,Ethiopia,Coffeearabica
321,35.5424937,8.1793709,Ale,Ethiopia,Coffeearabica
322,35.5445295,8.167042,Ale,Ethiopia,Coffeearabica
323,35.5429817,8.2035988,Ale,Ethiopia,Coffeearabica
324,35.5409967,8.2000844,Ale,Ethiopia,Coffeearabica
325,35.5405153,8.1981003,Ale,Ethiopia,Coffeearabica
326,35.540514,8.193034,Ale,Ethiopia,Coffeearabica
327,35.540419,8.1905383,Ale,Ethiopia,Coffeearabica
328,35.5393306,8.1845633,Ale,Ethiopia,Coffeearabica
329,35.5434157,8.1759676,Ale,Ethiopia,Coffeearabica
330,35.5492305,8.1661225,Ale,Ethiopia,Coffeearabica
331,35.5493655,8.1738708,Ale,Ethiopia,Coffeearabica
332,35.5550048,8.1853879,Ale,Ethiopia,Coffeearabica
333,35.544568,8.1670188,Ale,Ethiopia,Coffeearabica
334,35.5416235,8.2006116,Ale,Ethiopia,Coffeearabica
335,35.5407916,8.1930239,Ale,Ethiopia,Coffeearabica
336,35.5405584,8.187189,Ale,Ethiopia,Coffeearabica
337,35.5392938,8.1849155,Ale,Ethiopia,Coffeearabica
338,35.5416275,8.1817311,Ale,Ethiopia,Coffeearabica
339,35.5429596,8.1791369,Ale,Ethiopia,Coffeearabica
340,35.5433817,8.1763872,Ale,Ethiopia,Coffeearabica
341,35.5431001,8.1731852,Ale,Ethiopia,Coffeearabica
342,35.5433098,8.1703483,Ale,Ethiopia,Coffeearabica
343,35.5458176,8.1659221,Ale,Ethiopia,Coffeearabica
344,35.5505478,8.1677836,Ale,Ethiopia,Coffeearabica
345,35.5464717,8.1560605,Ale,Ethiopia,Coffeearabica
346,35.5457574,8.1672652,Ale,Ethiopia,Coffeearabica
347,35.5487095,8.1731455,Ale,Ethiopia,Coffeearabica
348,35.552941,8.1825601,Ale,Ethiopia,Coffeearabica
349,35.45444167,8.111294444,Ale,Ethiopia,Coffeearabica
350,35.458025,8.108402778,Ale,Ethiopia,Coffeearabica
351,35.468975,8.064519444,Ale,Ethiopia,Coffeearabica
352,35.45985556,8.078694444,Ale,Ethiopia,Coffeearabica
353,35.44757778,8.088572222,Ale,Ethiopia,Coffeearabica
354,35.42521944,8.091641667,Ale,Ethiopia,Coffeearabica
355,35.437775,8.100208333,Ale,Ethiopia,Coffeearabica
356,35.49573889,8.070222222,Ale,Ethiopia,Coffeearabica
357,35.51377778,8.050116667,Ale,Ethiopia,Coffeearabica
358,35.52730278,8.109813889,Ale,Ethiopia,Coffeearabica
359,35.51093889,8.134769444,Ale,Ethiopia,Coffeearabica
360,35.52406389,8.2102,Ale,Ethiopia,Coffeearabica
361,35.50042222,8.216075,Ale,Ethiopia,Coffeearabica
362,35.49907222,8.224194444,Ale,Ethiopia,Coffeearabica
363,35.50729722,8.231619444,Ale,Ethiopia,Coffeearabica
364,35.47198611,8.212852778,Ale,Ethiopia,Coffeearabica
365,35.46679167,8.217819444,Ale,Ethiopia,Coffeearabica
366,35.48100278,8.199866667,Ale,Ethiopia,Coffeearabica
367,35.51969722,8.140486111,Ale,Ethiopia,Coffeearabica
368,35.52551111,8.108736111,Ale,Ethiopia,Coffeearabica
369,35.87166667,8.358333333,Ale,Ethiopia,Coffeearabica
370,35.87166667,8.359722222,Ale,Ethiopia,Coffeearabica
371,35.8775,8.366944444,Ale,Ethiopia,Coffeearabica
372,35.87722222,8.366944444,Ale,Ethiopia,Coffeearabica
373,35.87777778,8.367222222,Ale,Ethiopia,Coffeearabica
374,35.87861111,8.366944444,Ale,Ethiopia,Coffeearabica
375,36.41666667,7.782222222,Ale,Ethiopia,Coffeearabica
376,36.41777778,7.783055556,Ale,Ethiopia,Coffeearabica
377,36.41666667,7.7825,Ale,Ethiopia,Coffeearabica
378,36.40055556,7.803055556,Ale,Ethiopia,Coffeearabica
379,36.39916667,7.786944444,Ale,Ethiopia,Coffeearabica
380,36.39916667,7.785277778,Ale,Ethiopia,Coffeearabica
381,36.42777778,7.784722222,Ale,Ethiopia,Coffeearabica
382,36.42833333,7.785555556,Ale,Ethiopia,Coffeearabica
383,36.2770446,7.7494316,Gera,Ethiopia,Coffeearabica
384,36.278484,7.7523583,Gera,Ethiopia,Coffeearabica
385,36.2827183,7.7538119,Gera,Ethiopia,Coffeearabica
386,36.2844691,7.7537867,Gera,Ethiopia,Coffeearabica
387,36.2876449,7.7536813,Gera,Ethiopia,Coffeearabica
388,36.2902236,7.7553815,Gera,Ethiopia,Coffeearabica
389,36.2916267,7.7567258,Gera,Ethiopia,Coffeearabica
390,36.2954317,7.755096,Gera,Ethiopia,Coffeearabica
391,36.2970469,7.7527744,Gera,Ethiopia,Coffeearabica
392,36.3000014,7.7513977,Gera,Ethiopia,Coffeearabica
